created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Oct 29 03:40:02 +0000 2022;1586201163396890624;"-idm aku bersyukur bgt bangtan ketemu coldplay, tau sih ini emg collab tapi coldplay (band yg udh gede bgt ini) mau ngasih waktu 5 menit buat seokjin ketemu army di konser mereka, makasih om chris dan kawan kawan udh ngasih kesempatan buat jin saying goodbye ke army:')))💜 https://t.co/eDiLaieXhJ";109;177;1379;8332;in;292019537;1586201163396890624;indomyfess;https://twitter.com/indomyfess/status/1586201163396890624
Fri Oct 28 11:24:11 +0000 2022;1585955581927378944;"Jin juga bilang kalau liriknya bisa keluar karna dia bikin sambil mikirin army.   🐹: aku ingin tampil di stage bersama coldplay. Ketika lagi ngerjain lagu ini, mereka juga sedang tour. Entah aku atau mereka yg mengajak untuk perform bareng.  +";12;1;89;560;in;1410284423166107648;1585951827501010944;7btsupdates;https://twitter.com/7btsupdates/status/1585955581927378944
Thu Oct 27 19:53:25 +0000 2022;1585721346935623680;"SEOKJIN &amp  COLDPLAY ENSAYANDO #TheAstronaut 😭😭https://t.co/07DfwPzUhT";92;29;1135;4523;in;1343748666943823873;1585721346935623680;jiminievenus;https://twitter.com/jiminievenus/status/1585721346935623680
Thu Oct 27 19:49:00 +0000 2022;1585720239169437696;"SEOKJIN AND COLDPLAY 🥺 https://t.co/oLjtD2NdM5";1048;59;7843;21269;in;3648846974;1585720239169437696;prodK0YA;https://twitter.com/prodK0YA/status/1585720239169437696
Thu Oct 27 11:19:35 +0000 2022;1585592039374467072;"schedule seokjin:  - ‘the astronaut’ release besok - ‘the astronaut’ performance di konser coldplay (hari sabtu) - jin x running man (minggu, 3 sore wib)";10;7;208;742;in;1956207277;1585592039374467072;vkookssky;https://twitter.com/vkookssky/status/1585592039374467072
Thu Oct 27 02:12:41 +0000 2022;1585454406291652608;"SEOKJIN NO SHOW DO COLDPLAY   https://t.co/RaPKehZ1st";134;20;689;3613;in;1492902241220575238;1585454406291652608;JKARTISTY;https://twitter.com/JKARTISTY/status/1585454406291652608
Thu Oct 27 02:07:04 +0000 2022;1585452993620561920;"Jin terlihat di konser Coldplay Argentina malam ini😍 https://t.co/N2SREL3cos";51;50;499;2324;in;1410284423166107648;1585452993620561920;7btsupdates;https://twitter.com/7btsupdates/status/1585452993620561920
Mon Oct 24 04:34:20 +0000 2022;1584402891804004353;"OMG. Army, klean harus lihat ini. Kan seokjin ke Argentina buat konser coldplay perform TA tgl 28 oktober. Nah, di bulan november nya menurut google, disana lagi musim purple jacaranda trees (jadi, semacam pohon² dijalanan itu berbunga purple gitu)indah banget kayak borahaeland💜 https://t.co/2UMs3aMtv5";80;72;823;3969;in;1261532541908996097;1584402891804004353;vampirejeonjk97;https://twitter.com/vampirejeonjk97/status/1584402891804004353
Sat Oct 22 06:16:50 +0000 2022;1583703909985845250;"Army tau gk.. coldplay itu idola salah satu member idola mereka.. liat betapa iri n stress karna coldplay milih bts, apalagi skrng lbh speifik milih Jin yg jg fans coldplay 🤣 inget gk pas coldplay pertama ke korea? Dgn kasian mereka pikir kl coldplay nyamperin idola mereka 😭";54;62;458;2825;in;1282971427981811714;1583703909985845250;__pawyoongi;https://twitter.com/__pawyoongi/status/1583703909985845250
Thu Oct 20 10:35:01 +0000 2022;1583044105805844480;"J-Hope = Jack in the box = Lollapalooza  Jin = Astronaut = Konser Coldplay   Jadii semua member bakalan ada konser after rilis single/album mereka gak sih? 😭😭😭🙏🏻  -idm https://t.co/ZMqyv3YC8T";15;23;97;1146;in;292019537;1583044105805844480;indomyfess;https://twitter.com/indomyfess/status/1583044105805844480
Thu Oct 20 10:11:11 +0000 2022;1583038108215365633;"Welcome JIN @bts_bighit 👏🏻  #Coldplay LIVE Broadcast dari Buenos Aires tayang di CGV 29 Oktober 2022. Beli tiketnya sekarang di https://t.co/CfGieiYldJ  #ColdplayxBTS https://t.co/6h0woCGZib";52;42;1745;4502;in;15000492;1583038108215365633;CGV_ID;https://twitter.com/CGV_ID/status/1583038108215365633
Thu Oct 20 09:44:44 +0000 2022;1583031454530879488;"Ini stadium River Plate Stadium di Argentina dengan kapasitas 70,074😱🥹 dan Jin akan bawain lagu solo nya bersama Coldplay. I’M SO PROUD😭😭😭💜 https://t.co/9b12HzSQRT";90;68;675;2344;in;1410284423166107648;1583031454530879488;7btsupdates;https://twitter.com/7btsupdates/status/1583031454530879488
